day,meal_type,name,serving_size,calories,total_fat,total_carbohydrate,protein,category
Monday,Lunch,Diced Tomatoes,Ounce,0, 0, 1, 0,Toppings
Monday,Lunch,Feather Shredded Pepper Jack Cheese,Ounce,110, 9, 1, 7,Cheese
Monday,Lunch,Homestyle Ranch Dressing,Ounce,90, 10, < 1, 0,Toppings
Monday,Lunch,Locally Grown Salad Greens,Ounce,0, 0, < 1, 0,Salad
Monday,Lunch,Peppadew Pepper,Tablespoon,35, 0, 8, 0,Miscellaneous
Monday,Lunch,Plant Based Chick'n Poppers,1ct,null,null,null,null,Miscellaneous
Monday,Lunch,Plant Based Chipotle Ranch Dressing,2z Portion,180, 20, 7, 0,Snack
Monday,Lunch,Tri-Color Tortilla Strips,Ounce,140, 8, 16, 0,Tortilla
Monday,Lunch,Captain Crunch Wildberries,Cup,180, 2.5, 39, 2,Cereal
Monday,Lunch,Cheerios,Cup,110, 2, 22, 4,Cereal
Monday,Lunch,Cinnamon Toast Crunch,Cup,210, 5, 40, 2,Cereal
Monday,Lunch,Frosted Flakes,Cup,320, 0, 67, 13,Cereal
Monday,Lunch,Rice Chex Cereal,Cup,180, 1, 40, 3,Cereal
Monday,Lunch,Special K with Red Berries,Cup,360, 1, 78, 16,Miscellaneous
Monday,Lunch,French Rolls,"6"" Portion",null,null,null,null,Miscellaneous
Monday,Lunch,"Honey Wheat Tortilla 12""",Tortilla,300, 8, 53, 7,Tortilla
Monday,Lunch,Kettle Chips,Ounce,160, 9, 15, 2,Snack
Monday,Lunch,"Multigrain Bread 5/8"" Slice",Slice,null,null,null,null,Miscellaneous
Monday,Lunch,Sourdough Bread Slice,Slices,100, 1, 20, 3,Miscellaneous
Monday,Lunch,"Spinach Tortilla 12""",Tortilla,300, 8, 53, 7,Tortilla
Monday,Lunch,"Sundried Tomato Basil Tortilla 12""",Tortillas,310, 8, 53, 7,Tortilla
Monday,Lunch,Telera Roll,3.5z,300, 4, 56, 9,Miscellaneous
Monday,Lunch,Banana Bar with Cream Cheese Icing,Serving,120, 3.5, 20, 1,Cheese
Monday,Lunch,Double Chocolate Chunk Cookie,1.35z Cookie,90, 0, 22, 1,Cookie
Monday,Lunch,Old-Fashioned Sugar Cookie,1.35z Cookie,160, 6, 25, 2,Cookie
Monday,Lunch,Peanut Butter Cookie,1.35z Cookie,180, 9, 20, 4,Cookie
